headline_id,text
028b9d83a7dc034182e3891a18508c05e7ee315f,"Potential Short Squeeze Candidates (O, TU, TFM, ULTI)"
26970b5ac7465602d66cfed3a217b3ccf6003e05,A Peek Into The Markets: U.S. Stock Futures Signal Higher Start On Wall Street
9751a5980f137c144df4edd5ce77f412b2f0df42,Anadarko Announces Resolution of Algeria Tax Dispute
c62ab1371b4d31a436bd4173a4c85f95b91436d7,"Newpark Resources Reports Q3 EPS $0.03 vs $0.04 Est., Sales $201.7M vs $191.86M Est."
8cace57fd90f83d2bb39a140e0fea2575cbaa631,Major Assets: Risk Assets Strong While Safe Assets Have Negative Trends
bc096e05231258415c55ce9bb18c84456387f7a8,"Seaport Global Initiates Coverage On Galmed Pharmaceuticals Ltd. - Ordinary Shares with Buy Rating, Announces $19.00 Price Target"
5078e35987e9aa0564ca292a20ac542215b4af4e,"UPDATE: Credit Suisse Maintains Outperform, Raises PT to $36"
e7aa4d0f17e0290c9ba2b884434ed508b642591d,"Benzinga's Top ETF Gainers (ZSL, TMV, VNM, DZZ)"
a804e7c067fb1d5eb2565bc61abe93c6ae592255,"HealthStream Reports Q3 EPS $0.08 Vs Est $0.05, Sales $53.8M vs Est $52.32M"
ad7678888537da5e4be155e36a01092308f042ad,"Option Alert: NetApp Nov $50 Call; 1,881 Contracts Traded vs 3 OI; Currently $43.50"
d6d7d7c3f3109c6bd0b25855b57dfe4c45643849,Piper Analyst Suggests Buying The Dip In Groupon
1f09a9dcf1cc40c5ca0d986566b2e3e529164af0,Ryder Increases Qtr. Dividend From $0.44 To $0.46/Share
5b326ced8def4c14b2322f2fd148d60a84f9d0e3,"Stifel Nicolaus Downgrades Iberiabank from Buy to Hold, Removes PT of $58"
f5962728eeb2130e7c8432637b8a60fd6e9927db,WebMD Health Corp Reports Q4 EPS of $0.27 vs $0.20 Est; Revenue of $146.30M vs $144.83M Est
c3d9d0e9ab23fbe03d99cb1e4f9b7b3bcec91824,International Rectifier Acquires CHiL Semiconductor for $75M
17ca926e33f13c9f744b5220e516a98faab41cf5,"What's The Volcker Rule, And Why Are Banks Celebrating The Fed's Proposed Changes?"
af368082a8754d14b42430ae8ce61a51d54017b3,Tesco Corporation Reports Q3 EPS of $0.27 vs $0.34 Est; Revenue of $141.90M vs $154.08M Est
3b5f44fc0717049b12f1605b39fa18712acacb39,"Citigroup Maintains Buy on Universal Health Services, Inc., Raises PT to $73.00"
4bdfa40e191ab48faab62d98fa3aaff7635f4130,"Zoetis Reports Q2 Adj. EPS $0.49 vs $0.44 Est., Sales $1.2B vs $1.17B Est."
39c9d38302f7c019abd8075f4847156e5e188884,Hedge Fund Activity Lower
c3dfce4609f3e3bc5f140a06d7705d11ee79a7ea,"DCT Industrial Trust Reports Q1 EPS $0.16 vs $0.13 Est., Sales $105M vs $103M Est."
0428001e84113fb6eeb0c8c19a8871756d01d303,"GW Pharmaceuticals Reports EPIDIOLEX Oral Solution, A Cannabinoid Medicine, Is Now Available By Prescription In US"
273b92c90675b744d562655dcc791911d1a800f4,"Fitch Says Effect Of Rare-Earth Metals Shipment Ban To US On Semi Cos., Such As Qualcomm, Could Be Limited"
625a49724294bb06de1b1ff78e8051e75043f939,Acorn Reports $1/ADS Dividend; Declares $0.25/ADS Qtr. Dividend
acb92cc680437bce006bc7bc9eb0ceb593f709d8,Bernanke and Co. Prepare for QE2: Dave's Daily
56d43cd1f621b08fe4207b74f4ec4a1c013302f8,Annaly Capital Management Announces 75M Share Offering
764d5ebc227c78a26d7793457c0f6ca3a8173423,Skechers USA Class A Reports Q3 EPS $0.22 vs $0.25 Est; Revenues $429.4M vs $427.71M Est
663065f9ef81c26f99c47380afb0b2e9ef79c94c,Endurance Intl Spikes to High of $9.50 on Volume
4e3717434d44f6fc38a5b91032ff78fad17b3abe,"Flat Subscription Rate, Custom Algorithms And Mobile Plans: Meet iFlip"
e271aa3dd6f1a12270d6badbe65d10064104946d,Stock Offerings: DiamondRock
71ead964316ff962f94e2330c53ac4b0df9bb8e2,Covenant Transporation Sees Q2 EPS $0.38-$0.48 vs $0.39 Est.
83df8ca6c58a8c84bbabedfb271f292cb8651668,8-K from Wal Mart Confirms Formation of Strategic Alliance with JD.com
552aacf4c195e2cee9ffdef74b2509a4c814f429,PRA Health Sciences Files Stock Offering For Selling Shareholders
9a9155096fe911b8c98008634cb166d4bf38a287,Callaway Golf Company Reports Q3 EPS of $(0.01) vs $(0.26) Est; Revenue of $168.80M vs $160.93M Est
fcbd5592eecbaac90c037443941dc678155b17ba,"Russell Index To Add Tyco, Ace And Ingersoll-Rand (TYC, ACE, IR, FNM, FRE)"
279c5c5b6a28a8fb59f7df320b7bccaf60a03003,DFA Vs. SPDR In Sector ETFs
d4a8f7367208dc6ae6ce020572792efbff3dde04,Sterne Agee Upgrades National Oilwell Varco To Buy
c62c6a72240f20bd6c2d86074aa7dbb278f5f232,Globalscape Announces Special Cash Dividend of $0.05 Per Common Share
6ca9656b3f83cbbedfc4f1700cdc934e4fa13a82,"Sprouts Farmers Market Raises FY17 Sales Growth From 12.5-13.5% To 13-14%, EPS $0.87-$0.91 To $0.88-$0.92"
f92281661db6d9eb1d515ba6897ea457f1d1b8f7,EU Allows Marriott's Acquisition of Starwood Hotels
315c4da69dbd0d2367863f37b88c532dccb149c9,CNBC's Meg Tirrell Tweets: 'Breaking: Shkreli to be arraigned 2pm today in Brooklyn'
4ee0b2cc9794af4f3e41cf2ee998d01b2e0ad910,The Monopoly Debate Rages on Between Cellular Giants
ecbcad0d6e711d7d9b0a4b96b7f7e8eff0f2b0a8,Barrington Explains Why A Neutral Stance On Sirius XM Was Wrong
b3fade402ee74bc0b7dac6184176b300d278175e,"UPDATE: KBW on Piper Jaffray, JMP Downgrades: Cites Valuation on Piper, 'Challenging Market Conditions' Related to to I-Banking Unit at JMP"
550208bd252a12c8667083c7b8cea007fe96a907,5 Bank Stocks That Could Jump on 2012 M&A (Update 1)
cf44392e9fb1aec982266f09bc9b4de7d3f7f29a,"US Ecology Reports Q3 Adj. EPS $0.37 May Not Compare To $0.60 Est., Sales $134.1M vs $135.3M Est."
437a78fbdc0d609d80923c197fac22682ca199aa,Concurrent Computer Enters into Board Representation and Standstill Agreement With Julian Singer
4e6034f000db8d153fa8aeaf057c6f0fc2e0ecd0,Piper Jaffray Companies Reports Q2 EPS of $1.25 vs $1.18 Est; Revenue of $166.70M vs $165.33M Est
38918f2b8747a44420d2ab32a7b4ca980758522f,"Swift Energy Director Saxton Buys 44,000 Shares @$2.30/Share -Form 4"
1f0f1e4c25aff99e824725b0bdf751741b8bb276,"Paratek Pharma Shares Open For Trade, Now Up 7.3% at $11.70"
a2f30435df458f3feef0d0a74e3019a947106611,"Greece Decision Delayed, Euro Suffers"
5110a0aae517a76cf2aa686b639fe1964a460206,Merrimack Pharmaceuticals (MACK) Up on EU Nod
5b0a035bd170cd2d39b8468180a8d2cf55138eb6,"RBC Capital Upgrades CenterPoint Energy, Inc (Holding Co) to Outperform"
03cf35c74ca8fef4dd1da0f292965526a3993253,"Chico's FAS, Inc. Appoints Cynthia A. Fields to its Board of Directors"
c357c307aadc51cd876c5c5492e59550c97ab0d5,PetMed Express Announces a $20 Million Share Repurchase Program
f1dec8e7cc6b26ec3b8bf0a8748655d5e16c4a75,How To Replace Stodgy Mutual Funds With ETFs
b1434b0d762a8dd9f6cb743e50bc1c0650c0cb64,Zoes Sees FY18 sales $358M-$368M vs. $358.6M Est.
c67b08fed475b550c0a6c594bd9ab8b48c63b08f,"Nomura Downgrades Cisco Systems to Neutral, Announces $50"
40e81f3ebabb365347dd5dcba0e91bd64198ff2f,"Microsoft Takes Legal Action Against Barnes & Noble, Foxconn and Inventec for Patent Infringement by Android Devices"
03b00ad705718723afa154224b2bec80d0684997,Sina Weibo To Introduce 'user Contract' On May 28 As China's Microblog Crackdown Continues -TNW
fb2681cc8c6ac850a84743a18c7d6506a2b32625,MarketAxess Holdings Reports Q3 EPS of $0.48 vs $0.43 Est; Revenue of $61.10M vs $62.87M Est
ca68641c37459c2782438f48ba398cae9363f786,"Canadian Solar Reports Its Recurrent Energy Completed Sale Of 150 MWac/210 MWp Mustang Two Solar Project To Solar Frontier Americas, No Terms Disclosed"
7701945a0bde04e2c5222401b70a12c4206e0bdd,"From LD Micro: Ur-Energy CEO Klenda On Possibility Of Financing, Dilution To Shareholders, Said, 'We might do a discretion spot sale but we're good on cash.'"
7fc53300dc6608d86386a7c5f7fa52681d01c7a1,Honda Says Its 2012 CR-V Will Go On Sale December 15
9ba9e3a4e71e9abf0cc17ba576bd1492e7241fab,"US Judge Strikes Down New York City's Responsible Banking Law as Unconstitutional, According to Court Filing -Reuters"
f511e4494e18672726066d820e657c43207701d9,Masco Lowers Top End Of FY18 Adj. EPS Range From $2.48-$2.63 To $2.48-$2.55
d4e4df3c386559571e24ac7d2154f7ff8f662e7b,From Ealier: Helix BioPharma Corp Files Clinical Trial Applications for Its Planned European Phase III Efficacy Trial of Topical Interferon Alpha-2b in Patients With Low-Grade Cervical Lesions
de7512c7c3c2b2569327d1f9d4d0dd15d244f4b9,"Vulcan Materials Company Q3 EPS $1.34 Misses $1.45 Estimate, Sales $1.24B Beat $1.23B Estimate"
31f29a48ac441da38db03763a5f4befea4a8486d,Pfizer Says Plans to Decide by End of Year on Potential Company Split
e5806a65b370bbd8f4d3602f0caa77bbf3699b77,Krispy Kreme Expands Buyback To $105M
48765f234f31d7670270e66d2ffc205f5c346b2c,Could Steel Be A Steal?
ed6bce1bb5438def8720a1b373710af1a92e30ea,Top 4 Small-Cap Stocks In The Drug Manufacturers-Other Industry With The Highest Cash
fd843f292247b36ba1c2dc428ce28f0ccfb4961a,"Axcelis Technologies, Inc. Reports Q3 EPS of $(0.04) vs $(0.03) Est; Revenue of $48.80M vs $52.67M Est"
ea5090e58030a0e29760b2a177dc0d3ea459a0de,"Vectren Corporation Reports Q3 EPS $0.75 vs $0.66 Est., Sales $691.2M vs $639M Est."
11b2223f3366e414ce8f5fcb87e3e3cab9a3b4e6,9 Oil Stocks With Hot Prospects
3eb30c73f7aec8f7763037603f682e74bdfdd0b3,"Citigroup Maintains Coopers at Neutral, Raises PT from $85 to $92"
06cb33f28d34931d08c015b9d6d6a5f2a0ab279b,Identity Crisis? The Coca-Cola Company and World Wildlife Fund
23dc09e0d499c99741aadf53b42c6e78527b79b1,"10 Stocks To Watch For June 6, 2017"
af55668a1b5b5cb28c436846570952c5d1ecf598,"""Davidson"" On Fastenal"
fe06f1256ff8f10a82bb8aa59a828f7250ebd373,Blackhawk Network to Acquire Grass Roots Group for ~$118M
d1fc52c4f554a71fa9b920f1d4b6a7fc302bef5b,SunTrust Robinson Humphrey Downgrades Washington Prime Group to Sell
46ddb82880cc9b280e14bc2e3dc28710b0c13962,Option Alert: Sysco Nov $40 Call; 2271 Contract Trade at Ask @$0.45; Now $36.47
94556d11bd84d77e09dc3566f70e7d5fd6ba7d62,Northeast Utilities Increases Post-storm Fund Credit Available to Eligible Residential Customers
74f3159de59aca1c0ad045e39086b8a7e3713507,Janney Capital Initiates Coverage On Park National with Neutral Rating
bdd3383857fb3a68e58b54701b536eb8c0a86dd6,Bank of America Downgrades Integrated Device Tech to Neutral
1884caf4943aea17b65d43132a53e6ac656d494c,"Imperial Capital Maintains In-line on Black Diamond, Inc., Raises PT to $9.00"
0f59af645e7a56c40fe7f8d0274ea2ba083e95e7,Portola Pharmaceuticals Highlights Presentation Of New In Vitro Data Demonstrating That Four-Factor Prothrombin Complex Concentrates (4F-PCCs) Had No Direct Effect On Inhibition Of Thrombin Generation By Factor Xa Inhibitors
b521e85cca60260f2bbed5a80616c24fb325d924,Community Health Systems Leading The Way In Hospital Sector Rally
55e7bbb7126e371c038b9e8bfd2ff98cee39f931,Winmark Corporation Announces Improved Third Quarter Results
ef2a2f4f85715ebad03bd0f336e6be8135159617,UPDATE: Trafigura Announces Sale of Majority Stake in Corpus Christi Terminal to Buckeye Partners for $860M
8f32cb7eb89d8ba6fd2c5783f06435e98fb626ea,Pembina Pipeline Corporation Says It Signed Letter Of Intent With Prince Rupert Legacy For Company To Develop West Coast Terminal On Watson Island
2b9b5c846784969631c0d0d2e2584dad0f629243,Pure Cycle Corp Sold 1.5M High Plains Shares at $2.35
477cd5ff74506499478d8e6c2b001f855f67043a,Changyou.com Down 12% Despite Upbeat Earnings
66c545b84351ee5c9c66c116e420365ad2c644ae,"Jefferies Maintains Underperform On TripAdvisor As Firm Notes Despite A 25% Decline YTD 'the Co still trades at a premium to better positioned EXPE, while its transition continues to pressure revenue growth'"
7ac0c8d95894e366418a06d17fb3287639aea7f3,Must Watch Stocks for Today
e8fa2eb9c4da654edd7e8a868b4b7e452954c93e,Option Alert: EMR Apr16 52.5 Calls Sweep: 507 @ ASK $1.70: 7755 traded vs 3691 OI: Earnings 5/3 $52.96 Ref
52bdda23623447cf7e9d9896c3c98321346a85e9,China Telecom Adopts NQ Mobile vLife Technology for Mobile Cloud Platform
dc5e925f5211f7fe20660ad595845bbbd29ddd59,"Albemarle Reaffirms FY18 Guidance Of Adj. EPS $5.30-$5.50 vs $5.39 Est., Sales $3.3B-$3.5B vs $3.38B Est."
e61ad298fd05be57df4aa740a3e42def7b45cac7,UPDATE: Jefferies Raises PT to $113.80 on British American Tabacco
f3762311b2b43aa8f256bf8ac5e1064755849443,Pacific Crest Upgrades A10 Networks To Overweight
c34af19b0c367b03352fb844888a0d0840248f7f,Nova LifeStyle Announces Opening Of 7 New Franchise Stores In China
77a4ac1be0db63025ff5017d45573542f589ae3a,Mid-Day Market Update: Supreme Industries Climbs On Acquisition News; Fossil Group Shares Plunge
aea06075e38ab32dcb9d7b12e828485a6b4eb9f4,Merck's Durham Site Receives US FDA License for Varicella Bulk
01ac2dafd3f60007527fd572d0eaed28a80a907d,Theravance Announces Plan to Separate Late-Stage Partnered Respiratory Assets From Biopharmaceutical Operations
316f0f056a52c8d01ae3acbd38d94b88aba43f1d,Nikkei Asian Review Reports 'Japan's annual new-car sales sink to five-year low'
63de599530922acc980e0660bab93bfa1fd5a9ee,"Amazon, Intel, Sirius: Tech Premarket"
5958d5297c1615e75fd703b5efa08819c64c5f21,Northwest Pipeline GP Completes Sundance Trail Expansion Project (WPZ)
d665c036ebf364062334f9305d3a02ae22c100b2,Imation To Feature New NST4000 At VMworld Europe
167b93a8b36b9f17c5a0f00b7801c13d7274929d,Alaska Airlines Orders 50 Boeing Aircraft
e558df88e5e44f0baa0ce8a60576a5220fe10d8b,US Stock Futures Surge Ahead Of Wal-Mart Earnings
531a4d65033920880841c550194893d48d6fbe53,"B. Riley Maintains Buy on Cumberland, Raises Price Target to $9.75"
348f85581a578830fba39f92efe19c42ed8572e7,"Piper Jaffray Maintains Achillion Pharmaceuticals at Overweight, Lowers PT from $17 to $16"
634640d182e8d68422eb6adb85c2158a90b1f2ab,Option Alert: Steel Dynamics Feb 35.0 Calls: 1520 @ Above Ask! $2.00: 2008 traded vs 1289 OI: Earnings 1/24 After Close $35.62 Ref
ec2937d4c32b1f48850ea8ff12dd2bddc7f35f69,BASF To Pay Albemarle Cash For Chemetall Business
bd8e06b781dcf270a65e372388d13fa4e54fa0c3,ChemoCentryx Reports Initial Results from Ongoing Phase Ib Clinical Trial of CCX872 in Patients with Advanced Pancreatic Cancer
0db82746e0f6538935abe06228f03508fde9cfbc,China Information Technology Announces Appointment of New CFO
c71bd7cb7a909df2e552dae7929e7523880e7ae0,"Jefferies & Company Maintains Qlik Technologies at Hold, Lowers PT from $24 to $18"
0cf117c05e5a27907ea1fd8ce396b0ee38160007,Carnival shares are continuing lower after the company lowered its 2019 guidance last Thursday. Two analysts have lowered their price targets for the stock today.
a3bcb8fdf2bc957eec07bd01007c76a4a4f5a126,"Raymond James Downgrades Copa Holdings, S.A. to Market Perform, Removes $167.00 PT"
29c1756d68406fd20f42683e1e5e7f2bd863d17c,"CF Industries Holdings Q2 EPS $0.63 Beats $0.46 Estimate, Sales $1.3B Beat $1.21B Estimate"
13c2797d2e28867b60f7a1521a99f6b9bd327f74,Antero Announces Closing Of Water Business Drop Down Transaction And Private Placement Of Common Units
69860a09fc21da37be9f6ece62e55389fb53f55a,Time To Ditch Chicken Wings And Buffalo Wild Wings Stock?
4e3b6271e8563c929e1b23a9c024bc1a315de032,NextEra Unit Issues Debentures - Analyst Blog
17f8ae3124a26d8e47e57c6578c64e28f6feace9,Tonix Pharmaceuticals Reports Up To $2M Buyback
5631479cde044aa76ff59ecc1c68f75cb2bf4170,MLV & Co Has Positive Outlook On Galectin Therapeutics Inc
369e0ca6e1c6e361aed89f21ffa24f1f75eb6c9e,DISH Customers in 36 Markets Blocked by Raycom Media from Access to Local Channels
dbc4fb0dcb00eddf488a3302a0725548a431b3df,"Linear Tech Reports Q4 EPS $0.54, Inline, Sales $3783.8M vs $373.9M Est."
5900f7205f5229257d87ae764980bf5cb2595f6b,S&P Ups Regions' Rating Outlook - Analyst Blog
