Column1,Column2,Column3,Column4,Column5,Column6
be22b70172fb84cfe9d2a73fc5ccfbb5f0266933,Delphi Reiterated at Neutral - Analyst Blog,neutral,0,0,Rating unchanged at Neutral
2cb617e6881db1c9efb4c59bd1cec79e3405733b,B Riley & Co Analyst Scott Tilghman: Staples CEO Has Been Public About Dislike For Office Depot,neutral,0,1,Analyst commentary on management's M&A stance; implication for the stock unclear
429b7eb53c8335717741f5eb28b4e2c69459cc77,EnPro Industries Reports Q1 EPS $0.91 vs $0.55 Est; Revenues $311.5M vs $302.20M Est,positive,0,0,Clear beat on both EPS and revenue
38918f2b8747a44420d2ab32a7b4ca980758522f,"Swift Energy Director Saxton Buys 44,000 Shares @$2.30/Share -Form 4",positive,0,1,Insider buying is a positive signal but the amount is small
6ca9656b3f83cbbedfc4f1700cdc934e4fa13a82,"Sprouts Farmers Market Raises FY17 Sales Growth From 12.5-13.5% To 13-14%, EPS $0.87-$0.91 To $0.88-$0.92",positive,0,0,Guidance raised
0db903ffea63f12c19ebea23af44a822cbd55889,Gulfport Energy Launches 7.5M Share Offering,neutral,0,1,Share offering; possible dilution but use of proceeds unknown (same treatment as the Annaly row)
3a7d806b599e0e8c68f2b47545d1f90be707d56e,"Bank of America Maintains Underperform on Altra Holdings, Inc., Raises PO to $28.00",neutral,1,1,Underperform kept (negative) but price objective raised (positive)
f511e4494e18672726066d820e657c43207701d9,Masco Lowers Top End Of FY18 Adj. EPS Range From $2.48-$2.63 To $2.48-$2.55,negative,0,0,"Guidance cut, even if only the top end"
2f6ac1a676436f596c051fc2099be3b64449495c,WESCO Reaffirms FY19 EPS Guidance $5.10-$5.70 vs $5.39 Estimate,neutral,0,1,Guidance reaffirmed and consensus sits inside the range; no new information
d407d6431b76ea1771e90921a33477a61d04b0de,"Option Alert: Nuance Communications Dec $17 Call; 2,625 Contracts Traded vs 454 OI; Currently $15.19",neutral,0,1,"Unusual call volume is sometimes read as bullish, but the headline is mechanical flow data with no stated direction"
782014b8c7e519bed7dbe91b0226b9154867f6a3,"ADDvantage Technologies Reports Q3 EPS $(0.01) vs $0.03 In Prior Year Period, Sales $13M vs $10.1M In Prior Year Period",negative,0,0,Swung from a profit to a loss year over year
29c01730d5f7615638e48856e82034fd237e329f,Kinetic-Novation Extend Contract - Analyst Blog,positive,0,1,Contract extension is mildly positive; low information
1f09a9dcf1cc40c5ca0d986566b2e3e529164af0,Ryder Increases Qtr. Dividend From $0.44 To $0.46/Share,positive,0,0,Dividend increase
96676c0232f8db88d997cb711d23002792ac6eae,Brean Murray Carret & Co. Believes Pullback In Bruker Represents Opportunity (BRKR),positive,1,0,Acknowledges a pullback (negative) but the analyst's call is buy the dip; net positive
4fc11909db7e078d1f0153941ae1cb63296ecd81,Bank of America Downgrades Fortune Brands Home to Neutral,negative,0,0,Downgrade
d4e4df3c386559571e24ac7d2154f7ff8f662e7b,From Ealier: Helix BioPharma Corp Files Clinical Trial Applications for Its Planned European Phase III Efficacy Trial of Topical Interferon Alpha-2b in Patients With Low-Grade Cervical Lesions,positive,0,1,Regulatory filing is a step forward but routine; no trial outcome
f069396f7a52f5d6a61b3838d05b8971466a4e26,Achillion Pharmaceuticals Down Over 4% After Announcing 9M Share Offering,negative,0,0,Dilutive offering with an explicit price drop
db185295c73acd119549fde9660b37036bbbabd8,Royale Energy Spiking Higher on Heavy Volume; Currently at $6.37,positive,0,0,Explicit upward price move
835b3b9b56a7cca289a1fcce544879b2352922ba,"Morgan Stanley Likes Bank Of America, Citigroup In Large Cap Space And Visa In Payments",positive,0,0,Analyst endorsement of named stocks
fe06f1256ff8f10a82bb8aa59a828f7250ebd373,Blackhawk Network to Acquire Grass Roots Group for ~$118M,neutral,0,1,Acquisition announcement; effect on the acquirer is ambiguous
4fa588a3770873811d798fdc44883d6c87fbd01a,The Top IPO Of 2014,neutral,0,1,Feature/list article
56ab5e27589a47dfe807d53130c02b396f77a72d,10 Stocks Moving In Friday's Pre-Market Session,neutral,0,1,"List article, no direction"
663065f9ef81c26f99c47380afb0b2e9ef79c94c,Endurance Intl Spikes to High of $9.50 on Volume,positive,0,0,Explicit upward price move
52bdda23623447cf7e9d9896c3c98321346a85e9,China Telecom Adopts NQ Mobile vLife Technology for Mobile Cloud Platform,positive,0,1,"Customer win for NQ Mobile; neutral for China Telecom, so depends on which company is the subject"
7a538fd3c5cd940847e629174462d746fe0770c1,"Susquehanna Downgrades BlackRock, Inc. to Neutral",negative,0,0,Downgrade
5ebc2fd7c5782147c34351a3a04da27268b533ab,"RadNet Q4 GAAP EPS $0.59, Sales $257.211M Beat $248.2M Estimate",positive,0,0,Sales beat; no EPS estimate given
66489aaba208c305a6940c56b0ee5ac66abebddb,"RS Platou Initiates Coverage on Potash Corporation of Saskatchewan Inc. at Buy, Announces $40.00 PT",positive,0,0,Initiation at Buy
16bb1eecc9b3e636e5deef422e28478aa4b2c463,"Huron Consulting Announces Acquisition of Rittman Mead India, Terms Not Disclosed",neutral,0,1,Small bolt-on with undisclosed terms; acquirer impact unclear
5f5f4bd9d88bfa149d223771ac50ef03bda00a24,Hill-Rom Holdings shares are trading higher after the company beat Q1 EPS and sales estimates.,positive,0,0,Beat plus explicit price rise
fab0ff62f542b29600ddcafb30f78562e3e678fd,"UPDATE: Home Depot Tops Q4 Views, Shares Gain",positive,0,0,Beat plus explicit price rise
a4905399bffbd3f7e8382a284fdbfc85d9e1c2d3,JAKKS Pacific Downgraded to Neutral - Analyst Blog,negative,0,0,Downgrade
f9cfa82f1699b9bc5995d143f782e467c655c0cb,Delta Announces Agreement to Add 15 Airbus A321 Aircraft,neutral,0,1,Fleet order signals demand but is also capex; routine for an airline

